date,category,item,quantity,price_per_unit
2026-08-13,Electronics,USB-C Cable,9,12.00
2026-08-13,Groceries,Almond Milk,12,4.00
2026-08-13,Clothing,Cotton T-Shirt,8,15.00
2026-08-14,Electronics,4K Monitor,1,300.00
2026-08-14,Groceries,Whole Wheat Bread,7,3.20
2026-08-14,Clothing,Running Shoes,2,75.00
2026-08-15,Electronics,Mechanical Keyboard,4,85.00
2026-08-15,Groceries,Organic Apples,19,2.50
2026-08-15,Clothing,Denim Jeans,3,45.00
2026-08-16,Electronics,Bluetooth Speaker,2,50.00
2026-08-16,Groceries,Cheddar Cheese,8,5.50
2026-08-16,Clothing,Winter Jacket,1,120.00
2026-08-01,Electronics,Gaming Headset,2,60.00
2026-08-02,Groceries,Whole Wheat Bread,13,3.20
2026-08-03,Clothing,Running Shoes,1,75.00
2026-08-04,Electronics,Wireless Mouse,14,25.00
2026-08-05,Groceries,Greek Yogurt,18,1.80
2026-08-06,Clothing,Cotton T-Shirt,6,15.00
2026-08-07,Electronics,Mechanical Keyboard,1,85.00
2026-08-08,Groceries,Almond Milk,7,4.00
2026-08-09,Clothing,Leather Belt,4,25.00
2026-08-10,Electronics,USB-C Cable,16,12.00
2026-08-11,Groceries,Organic Apples,23,2.50
2026-08-12,Clothing,Winter Jacket,2,120.00
2026-08-13,Electronics,4K Monitor,2,300.00
2026-08-14,Groceries,Cheddar Cheese,5,5.50
2026-08-15,Clothing,Denim Jeans,4,45.00
2026-08-16,Electronics,Bluetooth Speaker,3,50.00
2026-08-01,Groceries,Whole Wheat Bread,10,3.20
2026-08-02,Clothing,Running Shoes,2,75.00
2026-08-03,Electronics,Gaming Headset,5,60.00
2026-08-04,Groceries,Almond Milk,11,4.00
2026-08-05,Clothing,Cotton T-Shirt,13,15.00
2026-08-06,Electronics,USB-C Cable,7,12.00
2026-08-07,Groceries,Greek Yogurt,9,1.80
2026-08-08,Clothing,Leather Belt,2,25.00
2026-08-09,Electronics,Wireless Mouse,12,25.00
2026-08-10,Groceries,Cheddar Cheese,11,5.50
2026-08-11,Clothing,Denim Jeans,3,45.00
2026-08-12,Electronics,Mechanical Keyboard,2,85.00
2026-08-13,Groceries,Organic Apples,27,2.50
2026-08-14,Clothing,Winter Jacket,1,120.00
2026-08-15,Electronics,4K Monitor,1,300.00
2026-08-16,Groceries,Whole Wheat Bread,8,3.20
